Rank,FAA Region,ST,Locid,City,Airport Name,Service Level,Hub,CY 14 Enplanements,CY 13 Enplanements,percent_change
466,AL,AK,2A9,Kotlik,Kotlik,CS,None,"4,782","3,622",32.03%
467,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,"4,760","4,571",4.13%
468,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,"4,719","5,089",-7.27%
470,AL,AK,CFK,Chefornak,Chefornak,CS,None,"4,590","4,414",3.99%
471,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,"4,553","4,788",-4.91%
473,AL,AK,PHO,Point Hope,Point Hope,CS,None,"4,518","4,735",-4.58%
474,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,"4,508","4,178",7.90%
475,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,"4,485","3,871",15.86%
476,SW,AR,HRO,Harrison,Boone County,CS,None,"4,379","5,123",-14.52%
478,NM,UT,VEL,Vernal,Vernal Regional,CS,None,"4,352","8,203",-46.95%
479,NM,WA,W33,Friday Harbor,Friday Harbor,CS,None,"4,336",0,0.00%
480,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,CS,None,"4,323","11,310",-61.78%
481,AL,AK,WTK,Noatak,Noatak,CS,None,"4,296","4,088",5.09%
482,GL,MI,SJX,Beaver Island,Beaver Island,CS,None,"4,249","5,368",-20.85%
483,NM,WA,CLM,Port Angeles,William R Fairchild International,CS,None,"4,233","2,085",103.02%
484,AL,AK,SDP,Sand Point,Sand Point,CS,None,"4,135","3,976",4.00%
485,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,"4,081","5,099",-19.96%
486,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,"4,057","4,243",-4.38%
488,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,"4,015","4,105",-2.19%
489,NM,MT,OLF,Wolf Point,L M Clayton,CS,None,"4,013","2,630",52.59%
490,AL,AK,BVK,Buckland,Buckland,CS,None,"4,009","3,138",27.76%
491,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,"4,002","3,602",11.10%
492,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,"3,946","4,188",-5.78%
493,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,"3,920","6,983",-43.86%
494,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,"3,904","3,904",0.00%
495,NM,MT,GGW,Glasgow,Wokal Field/Glasgow International,CS,None,"3,886","2,097",85.31%
496,WP,AZ,PRC,Prescott,Ernest A Love Field,CS,None,"3,862","5,223",-26.06%
497,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,"3,861","3,665",5.35%
498,AL,AK,EEK,Eek,Eek,CS,None,"3,857","3,913",-1.43%
500,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,"3,835","8,218",-53.33%
501,SW,NM,LAM,Los Alamos,Los Alamos,CS,None,"3,801","2,295",65.62%
502,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,"3,796","3,637",4.37%
503,AL,AK,Z13,Akiachak,Akiachak,CS,None,"3,771","2,928",28.79%
504,AL,AK,AWI,Wainwright,Wainwright,CS,None,"3,731","3,959",-5.76%
505,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,"3,718","4,091",-9.12%
506,NM,CO,TEX,Telluride,Telluride Regional,CS,None,"3,590","6,470",-44.51%
509,SO,NC,ISO,Kinston,Kinston Regional Jetport at Stallings Field,CS,None,"3,527","3,741",-5.72%
510,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,"3,508","3,123",12.33%
511,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,"3,484","3,652",-4.60%
512,AL,AK,SOV,Seldovia,Seldovia,CS,None,"3,459","3,774",-8.35%
513,AL,AK,GAM,Gambell,Gambell,CS,None,"3,420","3,312",3.26%
514,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,"3,388","3,463",-2.17%
515,AL,AK,SVA,Savoonga,Savoonga,CS,None,"3,352","3,099",8.16%
517,AL,AK,HLA,Huslia,Huslia,CS,None,"3,269","3,012",8.53%
518,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,None,"3,222","3,315",-2.81%
